Дата,Средняя_температура,Сумма_осадков,Колво_часов_с_осадками,Скорость_ветра,city_id,city_name,country_code,latitude,longitude,timezone
2026-03-13,7.7,6.5,9,17.7,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-14,5.9,0.7,3,8.1,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-15,6.8,2.6,5,14.7,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-16,8.3,0.0,0,14.3,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-17,11.1,0.0,0,12.7,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-18,11.8,0.0,0,8.8,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-19,10.2,0.0,0,8.3,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-20,8.3,0.0,0,7.2,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-21,7.5,0.0,0,6.4,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-22,7.0,0.0,0,4.5,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-23,9.2,0.0,0,4.9,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-24,10.5,1.7,2,19.1,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-25,7.0,3.3000000000000003,8,20.2,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-26,5.8,0.0,0,9.5,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-27,8.8,1.1,7,12.0,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-28,7.0,0.5,4,13.7,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-29,6.9,0.5,2,14.2,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-30,9.1,0.2,2,15.5,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-03-31,11.4,0.4,4,7.4,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-04-01,11.2,0.1,1,6.8,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-04-02,8.5,0.0,0,8.9,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-04-03,11.4,1.5,10,18.0,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-04-04,11.2,0.4,4,16.9,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-04-05,10.5,0.4,4,18.0,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-04-06,9.4,0.0,0,7.1,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-04-07,13.0,0.0,0,11.0,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-04-08,17.7,0.0,0,6.5,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-04-09,15.3,0.2,1,12.0,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-04-10,9.4,0.0,0,9.8,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-04-11,10.6,0.30000000000000004,2,17.3,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
2026-04-12,10.9,1.1,5,17.1,GB_LON,Лондон,GB,51.5072,-0.1276,Europe/London
