"Время, ГГГГ-ММ-ДД ЧЧ:ММ:СС","Температура, °C","Влажность, %","Осадки, мм","Скорость ветра, км/ч"
2026-03-01 00:00:00,7.2,82.0,0.0,11.9
2026-03-01 01:00:00,6.9,83.0,0.0,11.6
2026-03-01 02:00:00,6.9,85.0,0.0,11.8
2026-03-01 03:00:00,7.2,86.0,0.0,12.2
2026-03-01 04:00:00,7.4,87.0,0.0,13.2
2026-03-01 05:00:00,7.9,85.0,0.0,15.0
2026-03-01 06:00:00,8.2,88.0,0.0,16.5
2026-03-01 07:00:00,8.4,88.0,0.0,16.2
2026-03-01 08:00:00,8.8,88.0,0.0,15.4
2026-03-01 09:00:00,9.4,88.0,0.0,14.2
2026-03-01 10:00:00,10.6,83.0,0.1,21.9
2026-03-01 11:00:00,9.9,87.0,0.2,18.5
2026-03-01 12:00:00,10.4,91.0,0.1,19.3
2026-03-01 13:00:00,11.9,86.0,0.0,14.8
2026-03-01 14:00:00,11.5,86.0,0.1,16.8
2026-03-01 15:00:00,12.5,78.0,0.1,18.0
2026-03-01 16:00:00,12.1,82.0,0.0,16.3
2026-03-01 17:00:00,11.4,83.0,0.0,17.7
2026-03-01 18:00:00,10.8,88.0,0.0,15.5
2026-03-01 19:00:00,10.8,88.0,0.0,16.2
2026-03-01 20:00:00,10.9,85.0,0.0,17.2
2026-03-01 21:00:00,10.8,83.0,0.0,18.0
2026-03-01 22:00:00,10.7,81.0,0.0,17.8
2026-03-01 23:00:00,10.5,79.0,0.0,17.2
2026-03-02 00:00:00,10.1,81.0,0.0,16.7
2026-03-02 01:00:00,9.8,82.0,0.0,16.4
2026-03-02 02:00:00,9.6,81.0,0.0,16.0
2026-03-02 03:00:00,9.4,80.0,0.0,15.0
2026-03-02 04:00:00,9.0,81.0,0.0,14.2
2026-03-02 05:00:00,8.9,80.0,0.0,13.7
2026-03-02 06:00:00,8.9,80.0,0.0,13.9
2026-03-02 07:00:00,8.8,81.0,0.0,12.8
2026-03-02 08:00:00,9.3,80.0,0.0,12.1
2026-03-02 09:00:00,10.3,78.0,0.0,9.1
2026-03-02 10:00:00,11.6,74.0,0.0,11.5
2026-03-02 11:00:00,12.7,70.0,0.0,12.1
2026-03-02 12:00:00,14.1,66.0,0.0,10.5
2026-03-02 13:00:00,14.6,64.0,0.0,11.5
2026-03-02 14:00:00,14.6,63.0,0.0,12.2
2026-03-02 15:00:00,14.4,64.0,0.0,11.7
2026-03-02 16:00:00,13.9,66.0,0.0,11.0
2026-03-02 17:00:00,12.9,70.0,0.0,9.9
2026-03-02 18:00:00,11.9,71.0,0.0,9.7
2026-03-02 19:00:00,11.2,73.0,0.0,9.8
2026-03-02 20:00:00,10.9,75.0,0.0,8.4
2026-03-02 21:00:00,10.5,77.0,0.0,6.7
2026-03-02 22:00:00,9.8,81.0,0.0,6.5
2026-03-02 23:00:00,9.1,84.0,0.0,5.2
2026-03-03 00:00:00,7.7,89.0,0.0,3.9
2026-03-03 01:00:00,7.4,91.0,0.0,3.3
2026-03-03 02:00:00,6.9,93.0,0.0,1.5
2026-03-03 03:00:00,6.5,95.0,0.0,1.7
2026-03-03 04:00:00,6.3,95.0,0.0,1.7
2026-03-03 05:00:00,6.1,96.0,0.0,3.2
2026-03-03 06:00:00,5.9,95.0,0.0,4.5
2026-03-03 07:00:00,6.4,95.0,0.0,5.5
2026-03-03 08:00:00,6.9,95.0,0.0,6.0
2026-03-03 09:00:00,8.2,92.0,0.0,4.7
2026-03-03 10:00:00,9.8,86.0,0.0,5.2
2026-03-03 11:00:00,11.3,82.0,0.0,6.1
2026-03-03 12:00:00,12.7,77.0,0.0,7.7
2026-03-03 13:00:00,13.6,72.0,0.0,8.5
2026-03-03 14:00:00,14.1,69.0,0.0,8.4
2026-03-03 15:00:00,14.1,69.0,0.0,7.8
2026-03-03 16:00:00,13.7,71.0,0.0,7.9
2026-03-03 17:00:00,12.6,75.0,0.0,9.6
2026-03-03 18:00:00,10.6,76.0,0.0,10.6
2026-03-03 19:00:00,9.3,78.0,0.0,11.0
2026-03-03 20:00:00,8.5,80.0,0.0,10.8
2026-03-03 21:00:00,7.9,82.0,0.0,10.1
2026-03-03 22:00:00,7.3,85.0,0.0,9.6
2026-03-03 23:00:00,6.8,87.0,0.0,9.8
2026-03-04 00:00:00,6.3,89.0,0.0,9.3
2026-03-04 01:00:00,6.2,91.0,0.0,9.4
2026-03-04 02:00:00,5.8,93.0,0.0,8.9
2026-03-04 03:00:00,5.6,94.0,0.0,8.5
2026-03-04 04:00:00,5.4,95.0,0.0,8.1
2026-03-04 05:00:00,5.2,96.0,0.0,8.2
2026-03-04 06:00:00,5.2,100.0,0.0,7.9
2026-03-04 07:00:00,5.3,99.0,0.0,7.4
2026-03-04 08:00:00,5.7,100.0,0.0,8.0
2026-03-04 09:00:00,6.2,99.0,0.0,7.8
2026-03-04 10:00:00,7.4,95.0,0.0,7.8
2026-03-04 11:00:00,9.4,89.0,0.0,7.6
2026-03-04 12:00:00,10.4,83.0,0.0,6.5
2026-03-04 13:00:00,11.7,80.0,0.0,6.2
2026-03-04 14:00:00,12.8,77.0,0.0,7.2
2026-03-04 15:00:00,13.3,77.0,0.0,7.9
2026-03-04 16:00:00,13.2,78.0,0.0,8.8
2026-03-04 17:00:00,12.4,82.0,0.0,9.7
2026-03-04 18:00:00,10.4,85.0,0.0,10.6
2026-03-04 19:00:00,9.2,87.0,0.0,10.6
2026-03-04 20:00:00,8.9,87.0,0.0,11.0
2026-03-04 21:00:00,8.9,85.0,0.0,10.7
2026-03-04 22:00:00,9.2,82.0,0.0,10.5
2026-03-04 23:00:00,9.6,79.0,0.0,10.6
2026-03-05 00:00:00,9.6,74.0,0.0,11.0
2026-03-05 01:00:00,9.1,75.0,0.0,10.2
2026-03-05 02:00:00,8.7,77.0,0.0,9.6
2026-03-05 03:00:00,8.4,79.0,0.0,8.7
2026-03-05 04:00:00,8.1,80.0,0.0,8.2
2026-03-05 05:00:00,7.8,81.0,0.0,8.3
2026-03-05 06:00:00,7.1,82.0,0.0,6.3
2026-03-05 07:00:00,6.9,83.0,0.0,6.9
2026-03-05 08:00:00,7.7,82.0,0.0,6.2
2026-03-05 09:00:00,9.5,79.0,0.0,5.7
2026-03-05 10:00:00,11.5,75.0,0.0,4.5
2026-03-05 11:00:00,13.3,71.0,0.0,5.4
2026-03-05 12:00:00,15.5,66.0,0.0,5.7
2026-03-05 13:00:00,16.5,63.0,0.0,7.9
2026-03-05 14:00:00,17.0,61.0,0.0,9.8
2026-03-05 15:00:00,16.9,60.0,0.0,9.7
2026-03-05 16:00:00,16.2,62.0,0.0,8.6
2026-03-05 17:00:00,15.0,68.0,0.0,7.5
2026-03-05 18:00:00,13.8,72.0,0.0,7.1
2026-03-05 19:00:00,12.8,76.0,0.0,7.1
2026-03-05 20:00:00,12.3,77.0,0.0,5.0
2026-03-05 21:00:00,12.1,77.0,0.0,5.1
2026-03-05 22:00:00,10.9,82.0,0.0,4.0
2026-03-05 23:00:00,10.8,82.0,0.0,4.2
2026-03-06 00:00:00,10.2,85.0,0.0,4.6
2026-03-06 01:00:00,10.1,87.0,0.0,3.1
2026-03-06 02:00:00,10.1,87.0,0.0,4.4
2026-03-06 03:00:00,9.7,89.0,0.0,4.0
2026-03-06 04:00:00,9.6,90.0,0.0,3.7
2026-03-06 05:00:00,9.6,90.0,0.0,4.5
2026-03-06 06:00:00,9.2,92.0,0.0,6.3
2026-03-06 07:00:00,8.6,93.0,0.0,4.1
2026-03-06 08:00:00,8.7,93.0,0.0,6.5
2026-03-06 09:00:00,9.1,90.0,0.0,6.9
2026-03-06 10:00:00,9.9,87.0,0.0,6.4
2026-03-06 11:00:00,11.0,84.0,0.0,6.0
2026-03-06 12:00:00,10.2,82.0,0.0,6.2
2026-03-06 13:00:00,10.2,83.0,0.1,6.1
2026-03-06 14:00:00,10.3,82.0,1.4,8.7
2026-03-06 15:00:00,9.1,92.0,1.6,9.9
2026-03-06 16:00:00,8.4,92.0,1.2,9.6
2026-03-06 17:00:00,8.2,94.0,0.5,7.4
2026-03-06 18:00:00,8.1,94.0,0.4,7.5
2026-03-06 19:00:00,7.9,95.0,0.2,8.4
2026-03-06 20:00:00,7.7,94.0,0.0,8.8
2026-03-06 21:00:00,7.5,94.0,0.0,8.6
2026-03-06 22:00:00,7.4,94.0,0.0,8.5
2026-03-06 23:00:00,7.6,93.0,0.0,8.3
2026-03-07 00:00:00,7.5,93.0,0.0,9.0
2026-03-07 01:00:00,7.3,92.0,0.0,9.6
2026-03-07 02:00:00,7.2,93.0,0.0,8.5
2026-03-07 03:00:00,7.1,93.0,0.0,8.2
2026-03-07 04:00:00,7.1,94.0,0.0,9.1
2026-03-07 05:00:00,7.1,94.0,0.0,7.9
2026-03-07 06:00:00,6.9,94.0,0.0,7.7
2026-03-07 07:00:00,7.0,94.0,0.0,8.9
2026-03-07 08:00:00,7.2,93.0,0.0,9.0
